Data supplied by UK-AIR on 8/11/2015
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,London Westminster,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"Daily measured PM<sub>2.5</sub> (uncorrected)",status,unit
 
01-01-2013,01:00,3.25421,R,ugm-3,25.89780,R,ugm-3,30.88764,R,ugm-3,55.01480,R,ugm-3,,,
01-01-2013,02:00,4.22648,R,ugm-3,32.05015,R,ugm-3,38.53076,R,ugm-3,46.23372,R,ugm-3,,,
01-01-2013,03:00,3.21460,R,ugm-3,29.34636,R,ugm-3,34.27583,R,ugm-3,61.01853,R,ugm-3,,,
01-01-2013,04:00,2.02374,R,ugm-3,28.80894,R,ugm-3,31.91198,R,ugm-3,62.86455,R,ugm-3,,,
01-01-2013,05:00,2.08330,R,ugm-3,23.20197,R,ugm-3,26.39633,R,ugm-3,61.11831,R,ugm-3,,,
01-01-2013,06:00,2.67889,R,ugm-3,23.62798,R,ugm-3,27.73584,R,ugm-3,60.86885,R,ugm-3,,,
01-01-2013,07:00,19.10864,R,ugm-3,44.29493,R,ugm-3,73.59453,R,ugm-3,49.69293,R,ugm-3,,,
01-01-2013,08:00,21.01295,R,ugm-3,48.78214,R,ugm-3,81.00126,R,ugm-3,42.85766,R,ugm-3,,,
01-01-2013,09:00,18.57261,R,ugm-3,54.49382,R,ugm-3,82.97114,R,ugm-3,39.81422,R,ugm-3,,,
01-01-2013,10:00,16.96515,R,ugm-3,46.87251,R,ugm-3,72.88538,R,ugm-3,46.40003,R,ugm-3,,,
01-01-2013,11:00,20.71547,R,ugm-3,46.47997,R,ugm-3,78.24344,R,ugm-3,46.89895,R,ugm-3,,,
01-01-2013,12:00,21.13238,R,ugm-3,43.87132,R,ugm-3,76.27356,R,ugm-3,52.18756,R,ugm-3,,,
01-01-2013,13:00,21.13238,R,ugm-3,43.08289,R,ugm-3,75.48561,R,ugm-3,53.73422,R,ugm-3,,,
01-01-2013,14:00,30.89500,R,ugm-3,45.29087,R,ugm-3,92.66292,R,ugm-3,47.84691,R,ugm-3,,,
01-01-2013,15:00,27.50172,R,ugm-3,48.99729,R,ugm-3,91.16582,R,ugm-3,46.89895,R,ugm-3,,,
01-01-2013,16:00,29.40635,R,ugm-3,57.97505,R,ugm-3,103.06386,R,ugm-3,42.75787,R,ugm-3,,,
01-01-2013,17:00,23.93039,R,ugm-3,65.18900,R,ugm-3,101.88194,R,ugm-3,32.28045,R,ugm-3,,,
01-01-2013,18:00,16.01284,R,ugm-3,64.09170,R,ugm-3,88.64438,R,ugm-3,35.57335,R,ugm-3,,,
01-01-2013,19:00,7.44108,R,ugm-3,50.68077,R,ugm-3,62.09046,R,ugm-3,41.01164,R,ugm-3,,,
01-01-2013,20:00,8.15547,R,ugm-3,59.59302,R,ugm-3,72.09743,R,ugm-3,36.77077,R,ugm-3,,,
01-01-2013,21:00,11.96504,R,ugm-3,65.01926,R,ugm-3,83.36511,R,ugm-3,31.98109,R,ugm-3,,,
01-01-2013,22:00,11.13153,R,ugm-3,63.53899,R,ugm-3,80.60729,R,ugm-3,30.18496,R,ugm-3,,,
