Data supplied by UK-AIR on 8/11/2015
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,London Westminster,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Daily measured PM<sub>2.5</sub> (uncorrected)",status,unit
 
01-01-2014,01:00,3.03011,R,ugm-3,21.78401,R,ugm-3,26.43011,R,ugm-3,,,
01-01-2014,02:00,2.22976,R,ugm-3,28.11311,R,ugm-3,31.53203,R,ugm-3,,,
01-01-2014,03:00,14.27784,R,ugm-3,29.16945,R,ugm-3,51.06184,R,ugm-3,,,
01-01-2014,04:00,2.52984,R,ugm-3,29.99517,R,ugm-3,33.87420,R,ugm-3,,,
01-01-2014,05:00,2.48649,R,ugm-3,27.48980,R,ugm-3,31.30237,R,ugm-3,,,
01-01-2014,06:00,2.35802,R,ugm-3,17.21059,R,ugm-3,20.82617,R,ugm-3,,,
01-01-2014,07:00,4.20184,R,ugm-3,19.90387,R,ugm-3,26.34660,R,ugm-3,,,
01-01-2014,08:00,2.95828,R,ugm-3,16.22756,R,ugm-3,20.76353,R,ugm-3,,,
01-01-2014,09:00,2.95828,R,ugm-3,14.72147,R,ugm-3,19.25744,R,ugm-3,,,
01-01-2014,10:00,3.04372,R,ugm-3,12.83431,R,ugm-3,17.50129,R,ugm-3,,,
01-01-2014,11:00,3.17282,R,ugm-3,11.63326,R,ugm-3,16.49818,R,ugm-3,,,
01-01-2014,12:00,2.91525,R,ugm-3,12.90603,R,ugm-3,17.37602,R,ugm-3,,,
01-01-2014,13:00,2.95860,R,ugm-3,13.96890,R,ugm-3,18.50535,R,ugm-3,,,
01-01-2014,14:00,2.82950,R,ugm-3,15.54719,R,ugm-3,19.88570,R,ugm-3,,,
01-01-2014,15:00,2.18683,R,ugm-3,13.08246,R,ugm-3,16.43555,R,ugm-3,,,
01-01-2014,16:00,2.78678,R,ugm-3,11.59788,R,ugm-3,15.87088,R,ugm-3,,,
01-01-2014,17:00,3.12979,R,ugm-3,13.89479,R,ugm-3,18.69373,R,ugm-3,,,
01-01-2014,18:00,1.88654,R,ugm-3,11.47261,R,ugm-3,14.36527,R,ugm-3,,,
01-01-2014,19:00,1.15781,R,ugm-3,11.39802,R,ugm-3,13.17330,R,ugm-3,,,
01-01-2014,20:00,1.20084,R,ugm-3,11.33204,R,ugm-3,13.17330,R,ugm-3,,,
01-01-2014,21:00,1.24293,R,ugm-3,9.57398,R,ugm-3,11.47978,R,ugm-3,,,
01-01-2014,22:00,1.20084,R,ugm-3,14.53118,R,ugm-3,16.37243,R,ugm-3,,,
01-01-2014,23:00,0.77177,R,ugm-3,9.22973,R,ugm-3,10.41308,R,ugm-3,,,
01-01-2014,24:00,0.42907,R,ugm-3,8.62633,R,ugm-3,9.28423,R,ugm-3,,,
