Data supplied by UK-AIR on 30/3/2019
All Data GMT hour ending  NB:  Upto 28/02/2018 PM10 were measured with a Partisol (emfab), from 01/04/2018 PM10 were measured with a BAM 1020 heated
Status: R =Ratified P=Provisional,P*=As supplied
,,London Westminster,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit
 
01-01-2018,01:00,1.72310,R,ugm-3,8.44623,R,ugm-3,11.08827,R,ugm-3,,,
01-01-2018,02:00,1.21082,R,ugm-3,12.88010,R,ugm-3,14.73666,R,ugm-3,,,
01-01-2018,03:00,1.60667,R,ugm-3,8.74993,R,ugm-3,11.21346,R,ugm-3,,,
01-01-2018,04:00,1.50189,R,ugm-3,8.15946,R,ugm-3,10.46232,R,ugm-3,,,
01-01-2018,05:00,1.22247,R,ugm-3,5.26141,R,ugm-3,7.13584,R,ugm-3,,,
01-01-2018,06:00,2.20044,R,ugm-3,6.44452,R,ugm-3,9.81848,R,ugm-3,,,
01-01-2018,07:00,6.81088,R,ugm-3,17.99283,R,ugm-3,28.43604,R,ugm-3,,,
01-01-2018,08:00,7.09030,R,ugm-3,35.26985,R,ugm-3,46.14150,R,ugm-3,,,
01-01-2018,09:00,3.84204,R,ugm-3,27.53472,R,ugm-3,33.42576,R,ugm-3,,,
01-01-2018,10:00,3.59754,R,ugm-3,27.15846,R,ugm-3,32.67462,R,ugm-3,,,
01-01-2018,11:00,6.35682,R,ugm-3,37.03834,R,ugm-3,46.78533,R,ugm-3,,,
01-01-2018,12:00,5.41378,R,ugm-3,36.23090,R,ugm-3,44.53191,R,ugm-3,,,
01-01-2018,13:00,8.69697,R,ugm-3,26.20702,R,ugm-3,39.54219,R,ugm-3,,,
01-01-2018,14:00,20.22308,R,ugm-3,42.65715,R,ugm-3,73.66544,R,ugm-3,,,
01-01-2018,15:00,20.39772,R,ugm-3,40.83344,R,ugm-3,72.10950,R,ugm-3,,,
01-01-2018,16:00,27.45309,R,ugm-3,46.80871,R,ugm-3,88.90286,R,ugm-3,,,
01-01-2018,17:00,23.57613,R,ugm-3,49.58778,R,ugm-3,85.73734,R,ugm-3,,,
01-01-2018,18:00,7.92857,R,ugm-3,40.31558,R,ugm-3,52.47254,R,ugm-3,,,
01-01-2018,19:00,3.66740,R,ugm-3,31.12897,R,ugm-3,36.75224,R,ugm-3,,,
01-01-2018,20:00,2.65450,R,ugm-3,24.84874,R,ugm-3,28.91891,R,ugm-3,,,
01-01-2018,21:00,2.20044,R,ugm-3,16.47761,R,ugm-3,19.85157,R,ugm-3,,,
01-01-2018,22:00,1.74638,R,ugm-3,15.02771,R,ugm-3,17.70546,R,ugm-3,,,
01-01-2018,23:00,1.64160,R,ugm-3,16.10048,R,ugm-3,18.61756,R,ugm-3,,,
01-01-2018,24:00,2.09566,R,ugm-3,16.47732,R,ugm-3,19.69062,R,ugm-3,,,
02-01-2018,01:00,4.42493,R,ugm-3,15.17713,R,ugm-3,21.96192,R,ugm-3,,,
02-01-2018,02:00,1.02472,R,ugm-3,10.30396,R,ugm-3,11.87518,R,ugm-3,,,
02-01-2018,03:00,0.94321,R,ugm-3,8.21129,R,ugm-3,9.65752,R,ugm-3,,,
02-01-2018,04:00,0.80347,R,ugm-3,10.03513,R,ugm-3,11.26711,R,ugm-3,,,
02-01-2018,05:00,1.15281,R,ugm-3,11.37734,R,ugm-3,13.14496,R,ugm-3,,,
02-01-2018,06:00,1.04801,R,ugm-3,15.29374,R,ugm-3,16.90067,R,ugm-3,,,
02-01-2018,07:00,10.96917,R,ugm-3,33.18535,R,ugm-3,50.00450,R,ugm-3,,,
02-01-2018,08:00,11.73771,R,ugm-3,57.06285,R,ugm-3,75.06041,R,ugm-3,,,
02-01-2018,09:00,13.79879,R,ugm-3,60.23360,R,ugm-3,81.39145,R,ugm-3,,,
