count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
17638,N,2005,2005-06-10,7,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,16,41,162,114,154,41,5,1,2,0,0,49,520
17638,N,2005,2005-06-10,8,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,37,104,249,124,121,41,3,0,1,0,0,45,643
17638,N,2005,2005-06-10,9,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,58,76,313,124,164,40,0,0,0,0,0,40,717
17638,N,2005,2005-06-10,10,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,39,106,333,117,212,38,3,0,0,0,0,41,809
17638,N,2005,2005-06-10,11,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,31,82,388,103,210,22,5,1,0,0,0,28,811
17638,N,2005,2005-06-10,12,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,36,77,433,104,193,31,3,0,0,0,0,34,841
17638,N,2005,2005-06-10,13,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,56,89,460,113,189,16,4,1,1,0,0,22,873
17638,N,2005,2005-06-10,14,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,57,83,498,108,141,11,1,2,1,0,0,15,845
17638,N,2005,2005-06-10,15,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,54,73,435,96,97,23,0,2,0,0,0,25,726
17638,N,2005,2005-06-10,16,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,40,76,421,119,113,14,1,1,0,0,0,16,745
17638,N,2005,2005-06-10,17,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,70,105,432,119,90,3,0,1,0,0,0,4,750
17638,N,2005,2005-06-10,18,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,68,86,371,109,40,2,1,0,0,0,0,3,609
17638,S,2005,2005-06-10,7,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,32,33,160,118,94,48,5,1,0,0,0,54,459
17638,S,2005,2005-06-10,8,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,49,70,220,114,94,45,4,0,1,0,1,51,549
17638,S,2005,2005-06-10,9,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,20,38,203,129,98,33,0,0,0,0,0,33,501
17638,S,2005,2005-06-10,10,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,21,51,207,114,105,31,5,1,0,0,0,37,514
17638,S,2005,2005-06-10,11,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,43,64,298,129,104,33,1,0,0,0,0,34,629
17638,S,2005,2005-06-10,12,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,43,69,291,131,101,22,0,2,0,0,0,24,616
17638,S,2005,2005-06-10,13,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,23,43,269,114,95,23,1,2,0,1,0,27,548
17638,S,2005,2005-06-10,14,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,13,14,242,107,87,12,0,0,0,0,0,12,462
17638,S,2005,2005-06-10,15,6,London,109,Westminster,A4201,Major,"Piccadilly Circus",A40,529100,181000,51.51318535,-0.14094796,0.90,0.56,60,57,317,125,71,15,1,1,0,0,0,17,587
